,rid,用户名称,话题名称,微博内容,发布时间,微博转发量,微博评论量,微博点赞,评论内容,评论时间,话题讨论数,话题阅读数,Unnamed: 12,正面,负面,置信度,立场,情感倾向
23,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,对，男性拥有产假根本上是保护女性的职场利益以及职场竞争力，如果男女都有同等天数的产假，那么公司在录取人的时候也能单纯从职业能力出发择优录取，不需要只考虑女性产假成本,2022-02-16,1732讨论,196.6万阅读,,0.498986,0.501014,0.979718,1,消极
24,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,那如此我感觉还是远离婚姻才会变得幸福了都,2022-02-16,1732讨论,196.6万阅读,,0.945666,0.0543339,0.879258,2,"('积极',)"
25,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,叫你不生，你还敢生， 叫你生，你就得生， 不听话的必须被收拾,2022-02-15,1732讨论,196.6万阅读,,0.000103743,0.999896,0.99977,0,消极
26,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,劳伦斯法案中国版,2022-02-15,1732讨论,196.6万阅读,,0.0568625,0.943138,0.873639,0,消极
27,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,持续下去就是禁止堕胎,2022-02-15,1732讨论,196.6万阅读,,0.164319,0.835681,0.634846,0,消极
28,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,关于酒驾，本身就是违法。做了避孕措施（措施合法）而措施失败（措施失败有可能是自身问题，也可能是避孕产品问题），为什么不能堕胎？,2022-02-11,1732讨论,196.6万阅读,,0.000768488,0.999231,0.998292,0,消极
29,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,就像我同事，有次聊起这个话题，一脸得意的说，我家反正是男孩。   这就是国内很大一部分男孩家长的想法。,2022-02-11,1732讨论,196.6万阅读,,0.926313,0.0736871,0.836251,2,"('积极',)"
30,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,以前是怀孕五六个月还要强制拉去流掉，打下来都有成形的。快要一个极端变成另个极端了,2022-02-10,1732讨论,196.6万阅读,,0.00195382,0.998046,0.995658,0,消极
31,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,"无语了，以前的人想生不让生，现在直接不能选择要不要生了', '赶紧搞研究吧，让男人怀孕生孩子去！！！也别性生活了 ，用工具吧",2022-02-10,1732讨论,196.6万阅读,,0.000179495,0.999821,0.999601,0,消极
32,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,"二胎，三胎，优生优育，独生子女，政府来养老', '为三胎出台优惠政策', '对之前的百姓公平吗', '要求对独生，失独家庭给予补偿",2022-02-10,1732讨论,196.6万阅读,,0.132001,0.867999,0.706664,0,消极
33,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,有意思，与计划生育完全背离。以前的思想看看要多久才能变。,2022-02-10,1732讨论,196.6万阅读,,0.0105184,0.989482,0.976626,0,消极
34,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,现在就去结扎,2022-02-10,1732讨论,196.6万阅读,,0.616455,0.383545,0.147678,2,"('积极',)"
35,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,赶紧普及性教育吧,2022-02-10,1732讨论,196.6万阅读,,0.296196,0.703804,0.341786,0,消极
36,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,是的，我觉得是让未成年人，未婚人员保护自己不要意外怀孕,2022-02-10,1732讨论,196.6万阅读,,0.323316,0.676684,0.281519,0,消极
37,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,计划经济时代的产物，计生应该撤编取缔，不符合现在社会需求，没有存在的意义，尾大不掉这可不是好事。,2022-02-10,1732讨论,196.6万阅读,,0.000283722,0.999716,0.99937,0,消极
38,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,计划生育协会是什么机构啊？这种协会出的政策只能手机倡导性的吧？,2022-02-10,1732讨论,196.6万阅读,,0.0425813,0.957419,0.905375,0,消极
39,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,她和她妈妈一开始没想报警，想偷偷地流掉，她的家庭教育有很大问题，应该有这样的法律来约束这只种行为,2022-02-10,1732讨论,196.6万阅读,,0.000659117,0.999341,0.998535,0,消极
40,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,可惜男性产假没出台……果然立法都是男性立的,2022-02-10,1732讨论,196.6万阅读,,0.714152,0.285848,0.364782,2,"('积极',)"
41,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,那关于新生儿的户口管理也得相应修改，否则干预未婚堕胎就是显而易见的流氓行为,2022-02-10,1732讨论,196.6万阅读,,0.00229289,0.997707,0.994905,0,消极
42,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,文件整体并不是这个意思,2022-02-10,1732讨论,196.6万阅读,,0.000347659,0.999652,0.999227,0,消极
43,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,看来各类民营医院又可以出来骗钱了,2022-02-10,1732讨论,196.6万阅读,,0.000453755,0.999546,0.998992,0,消极
44,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,希望义务教育拓展到12年,2022-02-10,1732讨论,196.6万阅读,,0.745808,0.254192,0.43513,2,"('积极',)"
45,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,禁止堕胎措词不太严谨,2022-02-10,1732讨论,196.6万阅读,,0.0170956,0.982904,0.96201,0,消极
46,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,未成年堕胎，医生都有义务报警，请警方协助调查，因为这极有可能涉及违法犯罪行为了。,2022-02-10,1732讨论,196.6万阅读,,0.00103684,0.998963,0.997696,0,消极
47,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,14岁未成年，应该报警,2022-02-10,1732讨论,196.6万阅读,,0.000994409,0.999006,0.99779,0,消极
48,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077, 支持！现在人对生命的敬畏心真的需要提高！,2022-02-10,1732讨论,196.6万阅读,,0.988307,0.0116934,0.974015,2,"('积极',)"
49,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,根本不是这一回事啊，重点还是要普及性教育，倡导健康妊娠，避免未成年怀孕什么的,2022-02-10,1732讨论,196.6万阅读,,0.000100444,0.9999,0.999777,0,消极
50,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,保护好自己,2022-02-10,1732讨论,196.6万阅读,,0.979618,0.0203821,0.954707,2,"('积极',)"
51,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,不认同,2022-02-10,1732讨论,196.6万阅读,,0.00176779,0.998232,0.996072,0,消极
52,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,不是禁止堕胎,2022-02-10,1732讨论,196.6万阅读,,0.00275599,0.997244,0.993876,0,消极
53,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,后面那个16岁的引了两次流了一次,2022-02-10,1732讨论,196.6万阅读,,0.905359,0.094641,0.789687,2,"('积极',)"
54,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,青少年和未婚人群是同一个群体吗？未婚人群比青少年的范围大的多的多吧…,2022-02-10,1732讨论,196.6万阅读,,0.772999,0.227001,0.495552,2,"('积极',)"
55,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,看守护解放西里面有好多失足的未成年男女啊，指路第三季第二集，14岁的女孩坏了孩子堕胎医院报警，我直接震惊(ΩДΩ),2022-02-10,1732讨论,196.6万阅读,,0.0140458,0.985954,0.968787,0,消极
56,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,看出来是真着急了,2022-02-10,1732讨论,196.6万阅读,,0.152377,0.847623,0.661385,0,消极
57,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,原文不是这么说的，人家的意思是避免青少年意外怀孕，媒体一通瞎说,2022-02-10,1732讨论,196.6万阅读,,0.00148496,0.998515,0.9967,0,消极
58,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,女孩要为年少无知买单了,2022-02-10,1732讨论,196.6万阅读,,0.0426042,0.957396,0.905324,0,消极
59,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,这种单位还不关门，苟延残喘没事找事,2022-02-10,1732讨论,196.6万阅读,,0.000520353,0.99948,0.998844,0,消极
60,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,这个话题不对啊，不是禁止堕胎。,2022-02-10,1732讨论,196.6万阅读,,0.0055932,0.994407,0.987571,0,消极
61,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,？？？？,2022-02-10,1732讨论,196.6万阅读,,无法识别,无法识别,无法识别,无法识别,无法识别
62,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,…………………………,2022-02-10,1732讨论,196.6万阅读,,无法识别,无法识别,无法识别,无法识别,无法识别
63,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,此一时彼一时！,2022-02-10,1732讨论,196.6万阅读,,0.607943,0.392057,0.128763,2,"('积极',)"
64,2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,想听罗诉韦德案,2022-06-25,16.3万讨论,9.2亿阅读,,0.233161,0.766839,0.481865,0,消极
65,2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,"总结到位', '最高法院并非禁止堕胎，而是权利下放//', 精釆！——美国格局是联邦+公司领主制，禁令下，1可跨州、2大公司如迪斯尼经济支持，个人堕胎权利有出口。3资本国家推卸主体责任最好的设计就是法条大法官+投票，这可以有效转移民众山呼海啸的情绪，避免政府不稳。//', 推荐",2022-06-25,16.3万讨论,9.2亿阅读,,0.82538,0.17462,0.611955,2,"('积极',)"
66,2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,想听冰汝说罗诉韦德案,2022-06-25,16.3万讨论,9.2亿阅读,,0.149391,0.850609,0.66802,0,消极
67,2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,所以准备怀孕之前就得做产检啊。,2022-07-23,16.3万讨论,9.2亿阅读,,0.579515,0.420485,0.0655891,2,"('积极',)"
68,2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,别瞎说。你是没见过产后大出血吗？还是宫外孕啊。胎膜早破没见过。,2022-07-23,16.3万讨论,9.2亿阅读,,0.0123745,0.987625,0.972501,0,消极
69,2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,孩子有畸形可以去医院。咱中国医院堕胎只承认胎儿畸形。如果你的胎儿畸形了，那就可以堕胎，如果没有那就不能。,2022-07-23,16.3万讨论,9.2亿阅读,,0.00276941,0.997231,0.993846,0,消极
70,2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,医院里面只有畸形胎儿能,2022-07-23,16.3万讨论,9.2亿阅读,,0.00220178,0.997798,0.995107,0,消极
71,2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,那就要放弃被强奸的那部分你所谓的1%的人 然后完成你所谓的大义 如果女性生育都不能自己掌握那是多么可悲 如果真的是养不起孩子难到就生下来放养跟着受苦一辈子吗？,2022-07-20,16.3万讨论,9.2亿阅读,,4.25009e-05,0.999958,0.999906,0,消极
72,2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,美国就要不少反对堕胎的女性,2022-07-20,16.3万讨论,9.2亿阅读,,0.0886741,0.911326,0.802946,0,消极
73,2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,在美国就有一些女性为了堕胎而怀孕，这些极端分子可不少呢。纽约和加州允许怀孕38-39周堕胎,2022-07-20,16.3万讨论,9.2亿阅读,,0.780331,0.219669,0.511846,2,"('积极',)"
74,2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,可以早产或饱腹产呀,2022-07-20,16.3万讨论,9.2亿阅读,,0.96926,0.0307398,0.931689,2,"('积极',)"
75,2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,强奸只占堕胎总数的不到1％，绝大多数堕胎是因为没钱养不起孩子,2022-07-20,16.3万讨论,9.2亿阅读,,0.00158348,0.998417,0.996481,0,消极
76,2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,我虽然不赞成堕胎但是性教育还是太重要了,2022-07-20,16.3万讨论,9.2亿阅读,,0.191937,0.808064,0.573474,0,消极
77,2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,最好不要遇着，若成事实，再根据状况解决。,2022-07-18,16.3万讨论,9.2亿阅读,,0.225665,0.774335,0.498523,0,消极
78,2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,假慈悲真残忍,2022-07-18,16.3万讨论,9.2亿阅读,,0.0250302,0.97497,0.944377,0,消极
79,2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,现在已经是qj，乱伦，发育不足一律不允许打胎,2022-07-18,16.3万讨论,9.2亿阅读,,0.0613011,0.938699,0.863775,0,消极
80,2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,女人真惨，怀孕生育这个功能，谁有谁倒霉，怀孕生育这个功能就是赤裸裸的“吃亏牺牲受罪还不讨好”，,2022-07-16,16.3万讨论,9.2亿阅读,,0.000133985,0.999866,0.999702,0,消极
81,2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,你千万不要因为你没有子宫，就去妄想利用假道德控制女性的生育权和身体，人家女人好歹是控制自己的身体，你可别想用一张嘴去控制别人的身体。你想控制别人？你是有多自私？,2022-07-16,16.3万讨论,9.2亿阅读,,0.00171843,0.998282,0.996181,0,消极
82,2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,为了生命自由，应该控制男性蛇精，因为，男性蛇精容易导致女性怀孕，你们男的为了胚胎生命，应该把下面带上控制蛇精的装置。,2022-07-16,16.3万讨论,9.2亿阅读,,0.418877,0.581123,0.0691621,0,消极
83,2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,哪里又说特殊处理？你去说的吗？,2022-07-15,16.3万讨论,9.2亿阅读,,0.00252817,0.997472,0.994382,0,消极
84,2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,怎么幸福就怎么活，但必要的措施还是要有，只要不违法不伤害别人即可。,2022-07-15,16.3万讨论,9.2亿阅读,,0.00567079,0.994329,0.987398,0,消极
85,2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,特殊情况特殊处理。,2022-07-15,16.3万讨论,9.2亿阅读,,0.809472,0.190528,0.576604,2,"('积极',)"
86,2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,是的，要有防范意识，才能维护妇女权益。,2022-07-15,16.3万讨论,9.2亿阅读,,0.182963,0.817037,0.593414,0,消极
87,2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,首先“随意堕胎”这个说法就已经不成立，以为堕胎是上厕所拉大号吗？还能随意？谁不知道堕胎对身体伤害极大？如果不是被逼到一定程度，没有选择了谁会去堕胎？,2022-07-15,16.3万讨论,9.2亿阅读,,0.000264298,0.999736,0.999413,0,消极
