rid,用户名称,微博等级,微博内容,微博转发量,微博评论量,微博点赞,发布时间,搜索关键词,话题名称,话题讨论数,话题阅读数
16,锅包肉199009,普通用户,#美国法案禁止性侵受害者堕胎##美国最严反堕胎法案# 呸 如何看待美国法案禁止性侵受害者堕胎？你认为还有人权可言吗?,0,0,0,2019/8/19,禁止堕胎,#美国法案禁止性侵受害者堕胎#,56000讨论,23000万阅读
17,大熊貓的粉絲1997,普通用户,"#美国法案禁止性侵受害者堕胎##美国最严反堕胎法案#
其實這是沒人權的，性侵者根本不想性交。 如何看待美国法案禁止性侵受害者堕胎？你认为还有人权可言吗?",0,3,3,2019/8/5,禁止堕胎,#美国法案禁止性侵受害者堕胎#,56000讨论,23000万阅读
18,藏蕴星辰,普通用户,#美国法案禁止性侵受害者堕胎##美国最严反堕胎法案#虽然说要珍爱每一个生命，他们的存在都有意义。但是我想问一下，即使法律禁止美国性侵者堕胎，禁止孕妇堕胎。但不被给予期待的生命，降生下来只会给它周边的人带来痛苦。我的法律没学好，但站在另一个角度来想人为何偏执（固执）？大抵都是因为那些不 ...全文,0,0,0,2019/7/6,禁止堕胎,#美国法案禁止性侵受害者堕胎#,56000讨论,23000万阅读
19,长老财经,黄v,"由七个大法官来决定美国所有女性的命运，真的有点颠覆认知！

他们的民主，为何女性自己没有表决权？谁替他们投的票！#美阿肯色州通过全面禁止堕胎法案#",2,14,9,2022/6/28,禁止堕胎,#美阿肯色州通过全面禁止堕胎法案#,267讨论,217.9万阅读
20,博尔济吉特桃子,普通用户,禁止堕胎，这算是什么人权？这不是胚胎权吗？孕妇才是人，胚胎没有经过产道出来或者剖腹出来，不能算人吧？孕妇没有堕胎权，不是剥夺人权吗？#美阿肯色州通过全面禁止堕胎法案#,1,1,2,2022/5/21,禁止堕胎,#美阿肯色州通过全面禁止堕胎法案#,267讨论,217.9万阅读
21,楚少主,金v,#美国# 美国多地女性抗议禁止美国女性堕胎，美国最高法大法官克拉伦斯·托马斯公开表示，他支持禁止美国女性堕胎，最高法院拒绝她们的网暴，最高法不能成为一个在美国女性胁迫下只能给出女性想要的结果的机构。 #美阿肯色州通过全面禁止堕胎法案#,0,2,0,2022/5/8,禁止堕胎,#美阿肯色州通过全面禁止堕胎法案#,267讨论,217.9万阅读
22,天涯社区,蓝v,【#美阿肯色州通过全面禁止堕胎法案#：被强奸乱伦也不例外】据CNN报道，近日美国阿肯色州通过一项“几乎完全禁止堕胎“的法案。法案规定，除非危及孕妇的生命，否则不得堕胎。即使女性被强奸、遭遇乱伦或者胎儿畸形也不允许堕胎。对进行或试图进行堕胎的人，将处以最高10万美元的罚款和最高10年的监禁 ...全文,6,48,201,2021/3/11,禁止堕胎,#美阿肯色州通过全面禁止堕胎法案#,267讨论,217.9万阅读
24,后沙月光本尊,金v,"#美国阿肯色州通过全面禁止堕胎法案#
美国宗教和政治：“分则存，合则亡”（Divided we stand，united we fall）。政教分离原则体现在了宪法第一修正案上，可见其重要性
祖训：合则亡！美国政客也要违背祖训？",13,26,152,2021/3/14,禁止堕胎,#美国阿肯色州通过全面禁止堕胎法案#,408讨论,162万阅读
25,时间视频,蓝v,【#美国阿肯色州通过全面禁止堕胎法案#：被强奸乱伦也不例外】据CNN报道，近日美国阿肯色州通过一项“几乎完全禁止堕胎“的法案。法案规定，除非危及孕妇的生命，否则不得堕胎。即使女性被强奸、遭遇乱伦或者胎儿畸形也不允许堕胎。对进行或试图进行堕胎的人，将处以最高10万美元的罚款和最高10年的监 ...全文,195,133,2336,2021/3/11,禁止堕胎,#美国阿肯色州通过全面禁止堕胎法案#,408讨论,162万阅读
26,桃花树下翁,普通用户,美国中央与地方的矛盾越来越大了#美国阿肯色州通过全面禁止堕胎法案##拜登#,0,0,0,2022/6/25,禁止堕胎,#美国阿肯色州通过全面禁止堕胎法案#,408讨论,162万阅读
27,白露为汤,微博达人,#美国阿肯色州通过全面禁止堕胎法案#灯塔太TM亮了,0,0,0,2021/3/14,禁止堕胎,#美国阿肯色州通过全面禁止堕胎法案#,408讨论,162万阅读
28,ETtoday新聞雲,蓝v,"【被性侵也要生！　#美国阿肯色州通过全面禁止堕胎法案# 】网页链接
#美国# 阿肯色州9日通过一项「禁止堕胎法案」，除非危及孕妇生命否则不得堕胎，即使女性遭性侵或是乱伦怀孕也得生下来。若有人违反此规定，将被处最高10万美元罚款和最高10年的监禁。州长Asa Hutchinson说，自己将会签署 ...全文",3,10,6,2021/3/12,禁止堕胎,#美国阿肯色州通过全面禁止堕胎法案#,408讨论,162万阅读
30,美国侨报网,蓝v,"【#突发美国# 】违宪！拜登政府起诉得州 挑战严苛堕胎法
在最高法院拒绝阻止得州最新堕胎法生效后，拜登政府9月9日将得州政府告上法庭，以终止这项法律实施。司法部长加兰德在记者会上表示，根据最高法院长期以来的判例，得州堕胎法“显然违反宪法”，其中包括一项“前所未有的计划”，以使得州州府免 ...全文",10,6,21,2021/9/10,禁止堕胎,#得州检测到胎心后禁止堕胎#,291讨论,271.6万阅读
31,ETtoday新聞雲,蓝v,【#得州通过全美最严堕胎法案# 检测到胎心后禁止堕胎】#美国# 得克萨斯州共和党籍州长阿伯特19日签署了一项堕胎限制法案：除非怀孕妇女面临健康紧急状况的威胁，一旦检测到胎心则立即禁止妇女堕胎，被强奸的受害者也须遵守这项法案。医学专家称，一般怀孕满6至8周会检测到胎心，但一些妇女在怀孕6周时 ...全文,5,12,13,2021/5/20,禁止堕胎,#得州检测到胎心后禁止堕胎#,291讨论,271.6万阅读
32,39健康网,蓝v,"【#得州通过全美最严堕胎法案##得州检测到胎心后禁止堕胎#】

美国得克萨斯州共和党籍州长阿伯特19日签署了一项堕胎限制法案：除非怀孕妇女面临健康紧急状况的威胁，一旦检测到胎心则立即禁止妇女堕胎，被强奸的受害者也须遵守这项法案。

医学专家称，一般怀孕满6至8周会检测到胎心，但一些妇女在怀孕 ...全文",0,0,10,2021/5/20,禁止堕胎,#得州检测到胎心后禁止堕胎#,291讨论,271.6万阅读
33,铁骥视频海外频道,蓝v,【#波兰新法律几乎完全禁止堕胎#】日前，波兰法院在“新堕胎法”裁决中禁止了几乎所有的堕胎行为，只有强奸，乱伦或母亲健康受到威胁的情况例外。此外，即使是严重畸形的胎儿也不得终止妊娠。随后，在全国范围内，成千上万的妇女在全国各地的城市抗议新堕胎法。此外，目前波兰的堕胎手术都是在国外非法 ...全文,26,37,99,2021/1/28,禁止堕胎,#波兰新法律几乎完全禁止堕胎#,285讨论,318.2万阅读
34,美东侨报,蓝v,"【#波兰新法律几乎完全禁止堕胎# #数千波兰民众街头抗议新堕胎法#】卫报当地时间28日报道，波兰备受争议的堕胎法将于周三生效，该法律几乎完全禁止堕胎，只允许在强奸、乱伦和母亲生命有危险的情况下堕胎。法律规定，在胎儿畸形的情况下堕胎“不符合”波兰宪法。
之后，数千波兰民众街头抗议新堕胎法， ...全文",0,1,1,2021/1/29,禁止堕胎,#波兰新法律几乎完全禁止堕胎#,285讨论,318.2万阅读
35,创业者商道,黄v,#波兰新法律几乎完全禁止堕胎# 目前波兰的堕胎手术都是在国外非法进行的。 铁骥视频海外频道的微博视频,1,0,2,2021/1/29,禁止堕胎,#波兰新法律几乎完全禁止堕胎#,285讨论,318.2万阅读
36,猛料老师,黄v,"【现场】：抗议者聚集在华沙，抗议波兰宣布几乎完全禁止堕胎。
#波兰新法律几乎完全禁止堕胎# 猛料老师的微博视频",0,0,2,2021/1/28,禁止堕胎,#波兰新法律几乎完全禁止堕胎#,285讨论,318.2万阅读
37,一华独秀,金v,"#波兰新法律几乎完全禁止堕胎#
没办法，人太少了，都又不想生，可以理解这样的做法 海口·国瑞大厦B座西塔",0,0,0,2021/1/28,禁止堕胎,#波兰新法律几乎完全禁止堕胎#,285讨论,318.2万阅读
38,星雨山潜,普通用户,#波兰新法律几乎完全禁止堕胎# #数千波兰民众街头抗议新堕胎法# 貌似尊重人权，实则虚伪残忍！ 那些被生出来的残疾儿童会幸福吗？,0,0,0,2021/1/28,禁止堕胎,#波兰新法律几乎完全禁止堕胎#,285讨论,318.2万阅读
39,枣庄正能量,金v,#波兰新法律几乎完全禁止堕胎# 胎儿畸形也无法堕胎！数千波兰民众街头抗议新堕胎法 枣庄 枣庄正能量的微博视频,1,0,0,2021/1/28,禁止堕胎,#波兰新法律几乎完全禁止堕胎#,285讨论,318.2万阅读
40,紫魔兰,黄v,#波兰新法律几乎完全禁止堕胎#波兰新法律几乎完全禁止堕胎,0,1,1,2021/1/28,禁止堕胎,#波兰新法律几乎完全禁止堕胎#,285讨论,318.2万阅读
42,浅念学长,黄v,#波兰新法律几乎完全禁止堕胎#为什么越来越多的年轻人选择单身？近日，李银河谈及世界单身潮的原因，如今感情在婚姻的占比越来越重，但感情是会流动的；人均寿命的延长，生儿育女成本大；现在女性越来越独立，能挣钱养活自己，没有充足的理由必须去结婚；离婚成本高；性目的的改变，有了更多选择。,0,0,0,2021/1/28,禁止堕胎,#波兰新法律几乎完全禁止堕胎#,285讨论,318.2万阅读
43,创业者商道,黄v,#波兰新法律几乎完全禁止堕胎#有缺陷生下来对家庭成员来说都是折磨特别是孩子。 影娱的微博视频,0,0,0,2021/1/29,禁止堕胎,#波兰新法律几乎完全禁止堕胎#,285讨论,318.2万阅读
44,地铁北京,黄v,"#波兰新法律几乎完全禁止堕胎#【#波兰新法律几乎完全禁止堕胎##数千波兰民众街头抗议新堕胎法#】卫报当地时间28日报道，波兰备受争议的堕胎法将于周三生效，该法律几乎完全禁止堕胎，只允许在强奸、乱伦和母亲生命有危险的情况下堕胎。法律规定，在胎儿畸形的情况下堕胎“不符合”波兰宪法。

之后，数 ...全文",0,0,1,2021/1/29,禁止堕胎,#波兰新法律几乎完全禁止堕胎#,285讨论,318.2万阅读
45,娱语,金v,"【#波兰新法律几乎完全禁止堕胎# #数千波兰民众街头抗议新堕胎法#】卫报当地时间28日报道，波兰备受争议的堕胎法将于周三生效，该法律几乎完全禁止堕胎，只允许在强奸、乱伦和母亲生命有危险的情况下堕胎。法律规定，在胎儿畸形的情况下堕胎“不符合”波兰宪法。

之后，数千波兰民众街头抗议新堕胎法 ...全文",0,0,1,2021/1/29,禁止堕胎,#波兰新法律几乎完全禁止堕胎#,285讨论,318.2万阅读
48,游戏圈婊姐,黄v,"【#波兰新法律几乎完全禁止堕胎##数千波兰民众街头抗议新堕胎法#】卫报当地时间28日报道，波兰备受争议的堕胎法将于周三生效，该法律几乎完全禁止堕胎，只允许在强奸、乱伦和母亲生命有危险的情况下堕胎。法律规定，在胎儿畸形的情况下堕胎“不符合”波兰宪法。

之后，数千波兰民众街头抗议新堕胎法， ...全文",0,0,0,2021/1/28,禁止堕胎,#波兰新法律几乎完全禁止堕胎#,285讨论,318.2万阅读
49,拾点历史,黄v,#波兰新法律几乎完全禁止堕胎#波兰人口增长率低引起的限制堕胎吧,0,0,1,2021/1/28,禁止堕胎,#波兰新法律几乎完全禁止堕胎#,285讨论,318.2万阅读
50,财智孙国英,黄v,【胎儿畸形也无法堕胎！ #数千波兰民众街头抗议新堕胎法# 】27日，数千名抗议者走上华沙街头抗议波兰新堕胎法案。这项法案在去年10月获得批准，于今年1月27日生效。法案规定只有在强奸、乱伦及母亲生命受到威胁的情况下才允许堕胎，并判定以胎儿畸形为由进行堕胎违反了波兰宪法，这意味着母亲即使明知 ...全文,0,2,0,2021/1/28,禁止堕胎,#波兰新法律几乎完全禁止堕胎#,285讨论,318.2万阅读
51,看电影,蓝v,"#美国德州禁止堕胎法生效# 又是一场法案与电影交叠的故事。美国德克萨斯州禁止堕胎法于9月1日正式生效，该法案禁止怀孕6周以上的母亲堕胎，即使是被强奸而怀孕的女性，也要遵守该法案。该法案将矛头指向了帮助孕妇堕胎的人，包括医生、诊所工作人员、咨询师，甚至是送孕妇的司机，都可能被起诉。

这不 ...全文",101,188,958,2021/9/2,禁止堕胎,#美国德州禁止堕胎法生效#,202讨论,86.8万阅读
52,大嘴狸,普通用户,#意外怀孕向外卖小哥索赔##美国德州禁止堕胎法生效# 大嘴狸的微博视频,0,0,1,2022/7/10,禁止堕胎,#美国德州禁止堕胎法生效#,202讨论,86.8万阅读
53,香港商報網,蓝v,【美国东西两岸启动660场游行 反对德州堕胎禁令】#美国德州禁止堕胎法生效# 据路透社报道，美国东西两岸爆发众多支持堕胎权利的游行，反对德克萨斯州通过的堕胎禁令。美国东西两岸星期六（10月2日）启动660起系列大游行，支持妇女堕胎权利，并声援德克萨斯州妇女权益组织在该州首府奥斯汀和其它城市 ...全文,2,3,11,2021/10/3,禁止堕胎,#美国德州禁止堕胎法生效#,202讨论,86.8万阅读
54,清蒸橘子头,普通用户,"#美国德州禁止堕胎法生效#
现实版《使女》......
政客永远是毒瘤",0,0,0,2021/9/15,禁止堕胎,#美国德州禁止堕胎法生效#,202讨论,86.8万阅读
55,漂亮国傻事,金v,#新星v计划##美国德州禁止堕胎法生效# 这些就是为德州女性作出禁止堕胎决定的人。,3,13,34,2021/9/14,禁止堕胎,#美国德州禁止堕胎法生效#,202讨论,86.8万阅读
56,柠檬水Byebye,普通用户,关于美国德州禁止堕胎法生效的热点事件的思考和看法。美国德州政府对待女性就像是一个承装着孩子的容器，而不是保护这些女性行使自己对自己身体权利，反而保护未出世孩子的人权。在这里，我想讨论的是未出世的孩子是否有人权。在我国，未出世的孩子不算作自然人，是因为我国对于自然人的条件是在自然条 ...全文,0,0,1,2021/9/9,禁止堕胎,#美国德州禁止堕胎法生效#,202讨论,86.8万阅读
57,朱诺的书房,普通用户,上野千鹤子在《父权制与资本主义》中提到：父权制的企图一直都在试图支配并控制作为再生产手段的子宫。再生产统治阶级试图让女性始终对自己的身体保持无知，并将其身体的管理委托于男性，将避孕和生育的自我决定权从女性手中夺走。#美国德州禁止堕胎法生效##女权# Juno_2015的微博视频,0,1,5,2021/9/9,禁止堕胎,#美国德州禁止堕胎法生效#,202讨论,86.8万阅读
58,云杉下的渔者,普通用户,"#美国德州禁止堕胎法生效#
这才是女人的子宫不属于自己……为什么谈论的人这么少？涉及美国集体失声",0,0,0,2021/9/9,禁止堕胎,#美国德州禁止堕胎法生效#,202讨论,86.8万阅读
59,fifi三叠纪,普通用户,不要只说某兰教极端，某督教右派也是人类之癌，反人权反人道的渣滓 #美国德州禁止堕胎法生效#,2,0,7,2021/9/7,禁止堕胎,#美国德州禁止堕胎法生效#,202讨论,86.8万阅读
60,奥派经济学读书群,微博达人,#美国德州禁止堕胎法生效# 难道是塔利班占领了德州？,0,1,3,2021/9/7,禁止堕胎,#美国德州禁止堕胎法生效#,202讨论,86.8万阅读
61,GallantFn,普通用户,#美国德州禁止堕胎法生效# Texas阴间法,0,0,0,2021/9/6,禁止堕胎,#美国德州禁止堕胎法生效#,202讨论,86.8万阅读
62,朱诺的书房,普通用户,"#美国德州禁止堕胎法生效#

女性的解放，先从子宫自由开始吧。

父权社会中，男性一直被训练成追求控制，通过控制获得更高的职位、更多的社会资源，然而，生育这件事却不在他们的掌控之中，而在那个被他们视为更低下的女性的身上。

由于没有子宫，男性被排除在生育之外。他们不得不依靠女人，来产下 ...全文",2,0,9,2021/9/7,禁止堕胎,#美国德州禁止堕胎法生效#,202讨论,86.8万阅读
63,律师沈辉,黄v,"婆婆能管得了儿媳堕胎吗？

#成都精英律师# #成都离婚律师# #美国多药房限购紧急避孕药# #美国禁止堕胎# 律师沈辉的微博视频",1,3,1,2022/7/1,禁止堕胎,#美国禁止堕胎#,521讨论,63.1万阅读
64,阿藤好疼,普通用户,"坚决反对美国禁止堕胎法案！
为美国女孩们的权利发声！#美国禁止堕胎#",0,0,1,2022/7/2,禁止堕胎,#美国禁止堕胎#,521讨论,63.1万阅读
65,用户7737606250,普通用户,#美国禁止堕胎##美国禁止堕胎#不是一次了吧，阿拉巴马州就不让，你去别的州堕胎也要被判刑，被qj也不能太下头了。,0,0,0,2022/6/30,禁止堕胎,#美国禁止堕胎#,521讨论,63.1万阅读
66,枝头一枚叶,普通用户,#美国禁止堕胎##美国最高法院取消宪法规定的堕胎权# 关于美国近期内闹得沸沸扬扬的堕胎权事件，很多人都说这是加剧了美国分裂，但还有另一种观点觉得很有趣：美国利用这种小矛盾转移了国内贫富差距的阶级斗争的大矛盾，中农贫阶级的注意力没时间盯在压榨他们的富人身上，富人们高枕无忧，私有制 ...全文,0,0,0,2022/6/27,禁止堕胎,#美国禁止堕胎#,521讨论,63.1万阅读
67,赛博记忆,普通用户,"2022年6月，美国联邦政府不再保护堕胎权，转而由各州决议是否禁止女性堕胎。
#美国禁止堕胎#",0,0,0,2022/6/27,禁止堕胎,#美国禁止堕胎#,521讨论,63.1万阅读
68,LUCA视界,黄v,因美国禁止堕胎法案后，加拿大特鲁多宣布：将允许并且欢迎美国人越境来加拿大堕胎。#美国禁止堕胎#,0,1,13,2022/6/26,禁止堕胎,#美国禁止堕胎#,521讨论,63.1万阅读
69,堇禾苏,普通用户,女人以后只会越来越卑微 女人真的是很强大也很容易被击垮 能不能来个对应的法案#美国推翻罗诉韦德案# #美国禁止堕胎#,0,0,1,2022/6/25,禁止堕胎,#美国禁止堕胎#,521讨论,63.1万阅读
70,用户7484400459,普通用户,#美国禁止堕胎#人权“老祖宗”禁止堕胎算不算侵犯人权？,0,0,1,2021/9/3,禁止堕胎,#美国禁止堕胎#,521讨论,63.1万阅读
71,每日经济新闻,蓝v,#美国得州测到胎心后禁止堕胎#【#美国得州通过法案测到胎心后禁止堕胎#，普通公民可起诉违令医生】美国得克萨斯州共和党籍州长阿伯特19日签署了一项堕胎限制法案：一旦检测到胎儿胎心则禁止妇女堕胎。医学专家称，一般来说，怀孕满6至8周会检测到胎心。美国媒体称，该法案几乎肯定会面临联邦法律的挑战 ...全文,6,7,19,2021/5/24,禁止堕胎,#美国得州通过法案测到胎心后禁止堕胎#,11讨论,38.1万阅读
72,环球资讯,蓝v,【#美联邦最高法院推翻确立堕胎权判例#】当地时间24日，美国联邦最高法院推翻了近半个世纪前在联邦层面确立堕胎权的判例“罗诉韦德案”，这意味着女性堕胎权将不再受美国宪法的保护。据美媒报道，#美国20余州预计将禁止或严格限制堕胎#行为，其中13个州的堕胎禁令在“罗诉韦德案”被推翻后将立即生效。 ...全文,22,126,400,2022/6/25,禁止堕胎,#美国20余州预计将禁止或严格限制堕胎#,118讨论,249.9万阅读
73,时间视频,蓝v,【美国最高法院取消宪法规定的堕胎权：全美多地游行示威，支持者和反对者发生冲突】#美国取消堕胎权全美多地游行示威#当地时间6月24日，美国联邦最高法院正式作出判决，推翻确认了美国女性拥有合法堕胎权的罗诉韦德案。最新裁决将赋予各州制定堕胎法的权力，近一半的州将宣布堕胎为非法，或严格限制堕 ...全文,11,9,27,2022/6/25,禁止堕胎,#美国20余州预计将禁止或严格限制堕胎#,118讨论,249.9万阅读
74,辽宁共青团,蓝v,"拜登回应“罗诉韦德案”被推翻： “让美国倒退150年” ～

#美国20余州预计将禁止或严格限制堕胎##美国最高法院取消宪法规定的堕胎权##拜登回应罗诉韦德案被推翻#（观察者网） 辽宁共青团的微博视频",11,13,58,2022/6/25,禁止堕胎,#美国20余州预计将禁止或严格限制堕胎#,118讨论,249.9万阅读
76,北名有渔,金v,#美联邦最高法院推翻确立堕胎权判例#这一反人类的技术是要限制一下了，提高生育率，增加劳动力#美国20余州预计将禁止或严格限制堕胎#,0,2,0,2022/6/25,禁止堕胎,#美国20余州预计将禁止或严格限制堕胎#,118讨论,249.9万阅读
77,大师罗莊,普通用户,#美国20余州预计将禁止或严格限制堕胎#美国这时候不讲人权了？ 昆明,0,0,0,2022/6/25,禁止堕胎,#美国20余州预计将禁止或严格限制堕胎#,118讨论,249.9万阅读
78,山西青年报,蓝v,"拜登回应“罗诉韦德案”被推翻： “让美国倒退150年” ～

#美国20余州预计将禁止或严格限制堕胎##美国最高法院取消宪法规定的堕胎权##拜登回应罗诉韦德案被推翻# 辽宁共青团的微博视频",0,0,0,2022/6/25,禁止堕胎,#美国20余州预计将禁止或严格限制堕胎#,118讨论,249.9万阅读
79,凌晨两点我还没有睡觉,黄v,"#美国20余州预计将禁止或严格限制堕胎#
是因为yq4⃣️的人太多了吗？",0,0,1,2022/6/25,禁止堕胎,#美国20余州预计将禁止或严格限制堕胎#,118讨论,249.9万阅读
80,渔夫遇海,金v,#美国20余州预计将禁止或严格限制堕胎#这就是美国的妇女人权,0,0,2,2022/6/25,禁止堕胎,#美国20余州预计将禁止或严格限制堕胎#,118讨论,249.9万阅读
81,国际在线,蓝v,#美国最高法院取消宪法规定的堕胎权#【#美联邦最高法院推翻确立堕胎权判例#】当地时间24日，美国联邦最高法院推翻了近半个世纪前在联邦层面确立堕胎权的判例“罗诉韦德案”，这意味着女性堕胎权将不再受美国宪法的保护。据美媒报道，#美国20余州预计将禁止或严格限制堕胎#行为，其中13个州的堕胎禁令在 ...全文,0,0,1,2022/6/25,禁止堕胎,#美国20余州预计将禁止或严格限制堕胎#,118讨论,249.9万阅读
82,一句半截的诗,金v,#美国20余州预计将禁止或严格限制堕胎# 这种政策绝不会到国内来的。不过真的觉得小三的孩子不要有继承权,0,0,1,2022/6/25,禁止堕胎,#美国20余州预计将禁止或严格限制堕胎#,118讨论,249.9万阅读
83,守护这一盏灯火,普通用户,#美国20余州预计将禁止或严格限制堕胎#我们要民主和自由，这是他们最爱说的，这咋了？咋不支持！感觉在演小丑剧#美国#,0,0,3,2022/6/25,禁止堕胎,#美国20余州预计将禁止或严格限制堕胎#,118讨论,249.9万阅读
84,之北_TY,黄v,#美国20余州预计将禁止或严格限制堕胎#救了命了……历史、文明的倒退,0,0,0,2022/6/25,禁止堕胎,#美国20余州预计将禁止或严格限制堕胎#,118讨论,249.9万阅读
85,天空越黑你就越亮,金v,"#美国20余州预计将禁止或严格限制堕胎#
天天讲人权，指责这个指责那个，你看看你自己，还是先管好你自己吧，这就是你们口中说的民主自由吗，真的好讽刺好可笑",10,2,7,2022/6/25,禁止堕胎,#美国20余州预计将禁止或严格限制堕胎#,118讨论,249.9万阅读
86,品茶说酒,金v,#美国20余州预计将禁止或严格限制堕胎#这是啥情况，不要民主和自由了,0,0,3,2022/6/25,禁止堕胎,#美国20余州预计将禁止或严格限制堕胎#,118讨论,249.9万阅读
88,HERMES的小窝,金v,#美国20余州预计将禁止或严格限制堕胎#【#美联邦最高法院推翻确立堕胎权判例#】当地时间24日，美国联邦最高法院推翻了近半个世纪前在联邦层面确立堕胎权的判例“罗诉韦德案”，这意味着女性堕胎权将不再受美国宪法的保护。据美媒报道，#美国20余州预计将禁止或严格限制堕胎#行为，其中13个州的堕胎禁令 ...全文,0,0,0,2022/6/25,禁止堕胎,#美国20余州预计将禁止或严格限制堕胎#,118讨论,249.9万阅读
89,来点石锤,金v,"殖人们好好想个角度吹
【#美联邦最高法院推翻确立堕胎权判例#】当地时间24日，美国联邦最高法院推翻了近半个世纪前在联邦层面确立堕胎权的判例“罗诉韦德案”，这意味着女性堕胎权将不再受美国宪法的保护。据美媒报道，#美国20余州预计将禁止或严格限制堕胎#行为，其中13个州的堕胎禁令在“罗 ...全文",0,5,9,2022/6/25,禁止堕胎,#美国20余州预计将禁止或严格限制堕胎#,118讨论,249.9万阅读
