rid,用户名称,微博等级,微博内容,微博转发量,微博评论量,微博点赞,发布时间,搜索关键词,话题名称,话题讨论数,话题阅读数
14,西文中国网,蓝v,Cualquier ciudadano tendrá acceso a armas militares en Brasil 巴西放宽枪支限制 网页链接 #巴西放宽枪支管控#,0,0,2,2019/5/23,枪支管控,#巴西放宽枪支管控#,44讨论,22.7万阅读
15,世面,蓝v,【#巴西放宽枪支管控#让“好人”持枪 市民：警察不靠谱只能靠自己】1月15日，巴西总统博索纳罗签署政令放宽枪支管控。博索纳罗称，此举将让守法的好公民们更容易得到枪支，保障其合法自卫权利。2018年巴西发生6万余起凶杀案，是全球最危险的国家之一。世面的秒拍视频 @新京报我们视频,4,5,20,2019/1/16,枪支管控,#巴西放宽枪支管控#,44讨论,22.7万阅读
16,中国新闻网,蓝v,【#美国会众议院通过枪支管控法案#】美国国会众议院当地时间24日表决通过一项枪支管控法案。由于该法案已在参议院获得通过，该法案成为国会自1994年以来首次通过的重要控枪法案。该法案包括对18岁到21岁购枪者采取更加严格的背景审查、使执法人员更易没收“危险”人员枪支、加强校园安全建设以及心理健 ...全文,8,25,64,2022/6/25,枪支管控,#美国会众议院通过枪支管控法案#,15讨论,66万阅读
17,澎湃新闻,蓝v,【#美国会众议院通过一项枪支管控法案#】当地时间6月24日，美国众议院以234票赞成、193票反对，表决通过了一项枪支管控法案，该法案名为《两党安全社区法》，是对得州及纽约州等多起大规模枪击事件的回应。该法案要求加强对21岁以下枪支购买者的背景调查，为“红旗法案”提供资金，打击非法枪支购买者 ...全文,5,9,28,2022/6/25,枪支管控,#美国会众议院通过一项枪支管控法案#,9讨论,51.6万阅读
18,参考消息,蓝v,【#美媒揭批美国没有枪支管控的真正原因#】美国《大西洋》月刊网站5月25日刊登文章，题为《美国没有枪支管控措施的真正原因》。文章认为，控枪立法陷入僵局说到底是因为一个更深层的问题，即美国政治中“多数决定”原则危机日益加剧，参议院“阻挠议事”机制是美国控枪立法难以逾越的阻碍。全文摘编如 ...全文,8,12,19,2022/5/28,枪支管控,#美媒揭批美国没有枪支管控的真正原因#,10讨论,9万阅读
19,财联社APP,蓝v,#纽约州成为第一个采取重大枪支管控措施的州#【美国纽约州州长签署法案 禁止21岁以下人士购买半自动步枪】财联社6月7日电，据美国消费者新闻与商业频道（CNBC）报道，当地时间6月6日，美国纽约州州长凯西 · 霍楚尔（Kathy Hochul）签署新法律，要求该州21岁以下人士禁止购买半自动步枪。继美国接连发生 ...全文,7,14,54,2022/6/7,枪支管控,#纽约州成为第一个采取重大枪支管控措施的州#,9讨论,16.8万阅读
20,澎湃新闻,蓝v,【#管控枪支还是武装学校#？#美两党就校园安全提出相反应对方案#】得州乌瓦尔德大规模枪击事件发生后，考虑到在国会推进枪支管控相关法案时的效率之低，美国各州州长纷纷就学校安全问题提出了符合自己党派利益的方案。民主党州长们正在扩大他们对枪支限制的主张的影响力，而共和党州长普遍都强调从另一 ...全文,8,25,45,2022/5/30,枪支管控,#管控枪支还是武装学校#,12讨论,55.6万阅读
21,每日经济新闻,蓝v,#美国枪支存量超人口总数#【美国暴力犯罪激增 #拜登再次敦促加强枪支管控#】当地时间6月23日，美国政府公布了一项打击枪支暴力等犯罪行为的综合举措，美国总统拜登和司法部长加兰德（Merrick Garland）当天召开发布会再次敦促全社会加强枪支管控。拜登表示，枪支暴力犯罪飙升的现象不可接受，打击枪 ...全文,7,11,24,2021/6/24,枪支管控,#拜登再次敦促加强枪支管控#,11讨论,24.7万阅读
22,新京报我们视频,蓝v,【#新西兰内阁同意加强枪支管控#】3月18日，新西兰内阁开始商讨枪支法修改细节，同意加强枪支管控。15日，克赖斯特彻奇两所清真寺遭遇枪击，已造成50人死亡，枪手所使用的5把枪支均为合法购得。此前两场发布会上，总理阿德恩均强调会加强枪支管控。世面的秒拍视频 @世面,14,15,43,2019/3/18,枪支管控,#新西兰内阁同意加强枪支管控#,14讨论,1.7万阅读
23,凤凰网科技,蓝v,"【#库克抨击美国管控枪支不力#：感到心碎】
美国当地时间周六，在得克萨斯州和俄亥俄州先后发生枪击事件，造成29人死亡，苹果公司CEO蒂姆·库克表态称，对本国立法者在枪支暴力问题上的表现失常不作为感到“心碎”，并暗指美国政府在枪支管控方面的努力没有起到作用。科技早报 | 马斯克将出席人工智能大会来华挖隧道 库克谴责美枪击事件",4,12,37,2019/8/5,枪支管控,#库克抨击美国管控枪支不力#,10讨论,10.2万阅读
26,中国新闻网,蓝v,【重大突破！#美国两党达成历史性控枪法案#】当地时间6月23日晚，美国参议院通过一项民主、共和两党罕见达成妥协的控枪法案，以解决枪支暴力问题。CNN评价，这相当于#美国数十年来首个主要联邦控枪法#达成。据报道，该法案在一些共和党人加入民主党支持该措施后获得通过，标志着两党在美国历来最具争议 ...全文,17,25,138,2022/6/24,控枪法,#美国数十年来首个主要联邦控枪法#,47讨论,131.4万阅读
27,侠客岛,蓝v,【#美国两党达成历史性控枪法案#】当地时间6月23日晚，美国参议院通过一项民主、共和两党罕见达成妥协的控枪法案，以解决枪支暴力问题。CNN评价，这相当于#美国数十年来首个主要联邦控枪法#达成。据报道，该法案在一些共和党人加入民主党支持该措施后获得通过，接下来将提交众议院投票，然后送交美国总 ...全文,11,37,103,2022/6/24,控枪法,#美国数十年来首个主要联邦控枪法#,47讨论,131.4万阅读
28,新华网,蓝v,"【#美国联邦最高法院推翻百年控枪法#】美国联邦最高法院23日通过一项裁决，推翻纽约州一项限制民众在外隐蔽携枪的法律。这一结果扩展了拥枪权，将给美国各州、各地带来深远影响。

民主党籍总统约瑟夫·拜登批评联邦最高法院这一裁决“违背常识”。

【界限分明】

联邦最高法院当天以6名保 ...全文",27,51,201,2022/6/25,控枪法,#美国联邦最高法院推翻百年控枪法#,50讨论,157.1万阅读
29,杭州网,蓝v,【#美国联邦最高法院推翻百年控枪法# #美国纽约州严控户外隐蔽持枪#】CGTN记者团的微博视频 #美纽约州敏感区域将禁止隐蔽持枪# 继新的控枪法案在纽约州参众两院获得通过后，纽约州州长霍楚尔于当地时间7月1日签署法案。根据法案内容，除执法人员、治安人员、现役军人等人员外，纽约州内一些特定的敏感 ...全文,0,0,0,2022/7/3,控枪法,#美国联邦最高法院推翻百年控枪法#,50讨论,157.1万阅读
32,战略安全与军控在线,蓝v,【#美国加州三十年控枪法或遭废除#】美国一名联邦地区法官6月4日作出裁决，推翻了加利福尼亚州一部施行超过30年的枪械管控法，这部法律禁止加州居民使用攻击性武器。加州州长加文·纽瑟姆对这一裁决表示严厉谴责，称其“对公共安全和无辜人的生命构成了直接威胁。”（央视新闻） 央广军事的微博视频 ...全文,8,4,26,2021/6/6,控枪法,#美国加州三十年控枪法或遭废除#,65讨论,70.6万阅读
33,歙县反邪,蓝v,【#美国加州三十年控枪法或遭废除#】,26,39,57,2021/6/6,控枪法,#美国加州三十年控枪法或遭废除#,65讨论,70.6万阅读
35,中国长安网,蓝v,【#拜登呼吁美国国会立即加强控枪立法#】美国一周接连发生重大枪击事件。拜登呼吁国会参议院立即通过众议院此前批准的枪支法案，加强控枪立法。美国两党在控枪问题上历来分歧尖锐。两党在国会参议院各占50席，美媒预测这两项法案很难获得在参议院闯关所需的60票门槛。 #拜登又下令降半旗# ...全文,113,67,1970,2021/3/24,控枪立法,#拜登呼吁美国国会立即加强控枪立法#,2365讨论,6101.9万阅读
36,观察者网,蓝v,【#拜登呼吁全美禁止攻击性武器#：我一分钟都不想多等】“这不应该是党派问题，这是一个美国问题。”美国科罗拉多州枪击案致10人死亡后，拜登23日呼吁国会通过控枪法案，禁止攻击性武器和大容量弹夹的销售，消除背景调查系统漏洞，“我一分钟都不想多等，更不用说一小时了”。拜登还提到他当年在担任参 ...全文,66,302,978,2021/3/24,控枪立法,#拜登呼吁美国国会立即加强控枪立法#,2365讨论,6101.9万阅读
37,王又又,金v,"#拜登呼吁美国国会立即加强控枪立法# 拜登23号下令，全美降半旗、悼念科州枪击案中的受害者。拜登当天在白宫就科州枪击案发表讲话，承诺将动用所有资源来确保美国人的安全。

“在佐治亚州针对亚裔社区的恐怖谋杀发生不到一周、仍在为那场悲剧降半旗之际，另一个美国城市再次因枪支暴力和由此带来的创 ...全文",25,66,235,2021/3/24,控枪立法,#拜登呼吁美国国会立即加强控枪立法#,2365讨论,6101.9万阅读
38,深圳卫视正午30分,蓝v,【美最高法院涉枪裁决 民主党人悲 共和党人喜】近来，频频发生的恶性枪支暴力事件已让纽约市民感到恐惧，美国最高法院推翻纽约控枪法引发民众担忧。#拜登呼吁美国国会立即加强控枪立法# #美国去年近4.5万人死于枪支暴力# #为什么美国控枪那么难# 深圳卫视正午30分的微博视频,0,0,0,2022/6/25,控枪立法,#拜登呼吁美国国会立即加强控枪立法#,2365讨论,6101.9万阅读
39,一粒孤寂的星尘,普通用户,"#拜登呼吁美国国会立即加强控枪立法#

好像美国真的要“控枪”了，做一个预言：

最终的控枪法案内容，将使底层美国人民，特别是有色人种，失去“合法”拥有、使用枪支的权力。

而美国高阶层，特别是白人，将会以某种形式继续“合法”拥有、使用枪支的特权。

美国人民，是交出手中的枪还是用手中的 ...全文",0,0,0,2022/6/16,控枪立法,#拜登呼吁美国国会立即加强控枪立法#,2365讨论,6101.9万阅读
40,财经新媒体,蓝v,【纽约州州长签署法案 禁止21岁以下居民购买半自动步枪】美国纽约州长凯茜·霍楚尔当地时间6月6日签署控枪新法案，禁止任何21岁以下的居民购买或拥有半自动步枪。#拜登呼吁美国国会立即加强控枪立法#,0,0,1,2022/6/7,控枪立法,#拜登呼吁美国国会立即加强控枪立法#,2365讨论,6101.9万阅读
41,消费维权爱心帮,普通用户,#美国得州小学枪击事件已致21人死亡# #拜登呼吁美国国会立即加强控枪立法# //@万-春-雷:可以可以，我的奴隶，我的biu biu,1,0,2,2022/5/29,控枪立法,#拜登呼吁美国国会立即加强控枪立法#,2365讨论,6101.9万阅读
42,飘落在此,微博达人,总而言之 言而总之 控枪没戏！#拜登呼吁美国国会立即加强控枪立法#,0,0,1,2022/5/28,控枪立法,#拜登呼吁美国国会立即加强控枪立法#,2365讨论,6101.9万阅读
43,洋葱军事新闻,金v,周五，布朗克斯区的安全摄像头拍到了白天的枪击事件。 纽约市警方表示，两名儿童在与帮派有关的枪击事件中被捕，但两人均未受伤。 #为什么年轻人的住房是战略问题##拜登呼吁美国国会立即加强控枪立法##为什么美国控枪那么难# 洋葱军事新闻的微博视频,0,3,9,2021/6/23,控枪立法,#拜登呼吁美国国会立即加强控枪立法#,2365讨论,6101.9万阅读
45,蚌埠政法,蓝v,#深度国际#【美国政府：我想控枪 神秘人：不 你不能】中国现代国际关系研究院美国研究所副研究员 张文宗：在历次的国会选举当中，美国步枪协会都会给候选人在枪支问题上的立场打分，如果你是一个主张控枪或者禁枪的候选人，那么美国步枪协会就会向他的选民发出信息来反对竞选，反对你连任。除美国步枪 ...全文,2,0,2,2021/5/23,控枪立法,#拜登呼吁美国国会立即加强控枪立法#,2365讨论,6101.9万阅读
46,CCTV4,蓝v,#深度国际#【当你看完这段视频，可能就已经有一个美国人死于枪下了】根据“枪支暴力档案”统计分析，2020年是美国有完整记录以来，全年死于各类枪击事件人数首次超过4万人。其中，2020年造成4人及以上伤亡的大规模枪击事件共发生611起，较2019年激增47%，创历史新高。而2021年尚未过半，便已有超过1600 ...全文,4,4,13,2021/5/23,控枪立法,#拜登呼吁美国国会立即加强控枪立法#,2365讨论,6101.9万阅读
48,平安鸡西,蓝v,【#拜登呼吁美国国会立即加强控枪立法#】,0,0,0,2021/3/29,控枪立法,#拜登呼吁美国国会立即加强控枪立法#,2365讨论,6101.9万阅读
49,苦行僧兵,黄v,【顽疾难除枪伤难愈，#18张图表解读美国枪支暴力问题#】2021年3月，美国佐治亚州、科罗拉多州等地接连发生重大枪击事件。美媒Vox曾于2016年播出视频，用18张图表解读美国枪支暴力频发的背后问题。在美国获得一支枪相对容易，购买行为也会被官方登记。部分因为宽松的法律，美国已经超过3亿把枪，还在持 ...全文,0,0,0,2021/3/26,控枪立法,#拜登呼吁美国国会立即加强控枪立法#,2365讨论,6101.9万阅读
50,美国侨报网,蓝v,"【#突发美国#】科罗拉多10人死枪案嫌犯出庭 哥哥评价：反社会、偏执狂
一名21岁的男子被控3月22日在科罗拉多州一家超市开枪，造成10人死亡。他于周四（3月25日）出庭，被正式告知对他的指控。

艾哈迈德·阿尔·阿立维·阿里萨Ahmad Al Aliwi Alissa面临10项谋杀罪和一项谋杀未遂的指控，他一手制造了周一 ...全文",0,0,2,2021/3/26,控枪立法,#拜登呼吁美国国会立即加强控枪立法#,2365讨论,6101.9万阅读
51,蜜蜂匠看天下,黄v,#拜登呼吁美国国会立即加强控枪立法##今年已有近万名美国人死于枪口之下# 科罗拉多州发生的严重枪击事件是继16日亚特兰大针对亚裔的暴力事件后，美国一周内发生的第二起大规模枪击事件。长期以来，枪支暴力始终是美国社会一大顽疾，而进一步加重美国公众忧虑的是，大规模枪击事件正以更高频率发生。据 ...全文,0,0,3,2021/3/24,控枪立法,#拜登呼吁美国国会立即加强控枪立法#,2365讨论,6101.9万阅读
52,沙棘茶叶,普通用户,"发布了头条文章：《疯狂的交易：科罗拉多州的杀手为何精神病了？》

一个叙利亚移民，曾经生机勃勃，高中时突然变了。变得神经质，幻听，家人，同学公认成了精神病。他们想不到的是，这个精神病有一天会变成杀手---在科罗拉多州一个便利店杀死10个洋基佬！

#拜登呼吁美国国会立即加强控枪立法# ...全文",0,0,0,2021/3/24,控枪立法,#拜登呼吁美国国会立即加强控枪立法#,2365讨论,6101.9万阅读
53,CCTV4,蓝v,#深度国际#【控枪 为何连美国总统都做不到】克林顿政府时期，美国国会曾通过《联邦攻击性武器禁售令》，明确禁止在民间出售19种攻击性较强的半自动枪械以及10发以上的子弹夹，在控枪问题上取得一些进展。时任美国总统 奥巴马：所有的枪支销售者都必须持有许可证，并且要对购枪者进行背景检查，否则他们 ...全文,4,1,9,2021/5/23,控枪立法,#拜登呼吁美国国会立即加强控枪立法#,2365讨论,6101.9万阅读
54,美国侨报网,蓝v,"【#突发美国# 】枪支是“国家耻辱”！拜登呼吁国会采取行动
美国总统拜登4月16日表示，在印第安纳波利斯枪击事件造成8人死亡后，美国枪支死亡是一个国家的耻辱，呼吁国会禁止军用风格的“攻击性”枪支。
本月早些时候，拜登宣布了应对枪支暴力的有限措施，其中包括打击自行组装的“幽灵枪”。但更严格 ...全文",3,6,14,2021/4/17,控枪立法,#拜登呼吁美国国会立即加强控枪立法#,2365讨论,6101.9万阅读
55,听见广播,蓝v,"#拜登宣布多项控枪行政措施# #拜登呼吁美国国会立即加强控枪立法#
拜登呼吁美国国会 立即加强控枪立法 听见广播的微博视频",1,0,0,2021/4/12,控枪立法,#拜登呼吁美国国会立即加强控枪立法#,2365讨论,6101.9万阅读
57,美国侨报网,蓝v,"【#突发美国# 】拜登：美国枪支暴力是流行病 宣布多项控枪行政措施
美国总统拜登和司法部长加兰德4月8日宣布了解决美国枪支暴力问题的有限措施，白宫称这是遏制大规模枪击、社区流血和自杀的第一步。
新的措施包括，司法部计划打击自行组装的“幽灵枪”，并根据《国家枪支法》对“稳定支架”，也就是把 ...全文",3,0,7,2021/4/9,控枪立法,#拜登呼吁美国国会立即加强控枪立法#,2365讨论,6101.9万阅读
58,CGTN,蓝v,#拜登呼吁美国国会立即加强控枪立法#【#拜登称美国应该禁止攻击性武器# 你觉得拜登会颁布禁枪令吗？】 当地时间3月23日，美国总统拜登就科罗拉多枪击案发表讲话，并下令降半旗向枪击案中10名受害者及其家属表示哀悼。拜登呼吁再次禁止攻击性武器，还表示将继续督促参众两院尽快通过枪支改革法案，加强 ...全文,13,43,80,2021/3/24,控枪立法,#拜登呼吁美国国会立即加强控枪立法#,2365讨论,6101.9万阅读
59,地瓜熊老六,金v,#拜登呼吁美国国会立即加强控枪立法#拜登，又想控枪，又想禁止加拿大到美国的输油管道，我看拜登是迫不及待想坐敞篷车了……,10,64,245,2021/3/24,控枪立法,#拜登呼吁美国国会立即加强控枪立法#,2365讨论,6101.9万阅读
60,安徽反邪教,蓝v,【#今年已有近万名美国人死于枪口之下#】科罗拉多州发生的严重枪击事件是继16日亚特兰大针对亚裔的暴力事件后，美国一周内发生的第二起大规模枪击事件。长期以来，枪支暴力始终是美国社会一大顽疾，而进一步加重美国公众忧虑的是，大规模枪击事件正以更高频率发生。据美国非营利组织“枪支暴力档案”最 ...全文,82,75,83,2021/3/24,控枪立法,#拜登呼吁美国国会立即加强控枪立法#,2365讨论,6101.9万阅读
61,雒邑叔宽,金v,瞌睡乔看傻眼，年近七旬老硬汉，鲜卑利亚冰封松林举杯豪饮驾车驰骋。 #拜登呼吁美国国会立即加强控枪立法# 雒邑叔宽的微博视频,10,11,41,2021/3/24,控枪立法,#拜登呼吁美国国会立即加强控枪立法#,2365讨论,6101.9万阅读
62,CristinaLaVeneno,普通用户,"#Madonna##麦当娜呼吁控枪立法#
【神控下凡】
外网粉丝拍摄的麦奶表演神控的片段
在灯光下她唱神控真的（词穷） 一起来康康女帝叭 BlondeAmbition的微博视频",1,2,4,2020/2/24,控枪立法,#麦当娜呼吁控枪立法#,113讨论,8.2万阅读
63,澎湃新闻,蓝v,【#美国会再一次开启控枪立法辩论#，两党议员此次能否找到共识？】近十年来最为致命的一场校园枪击案震撼了全美，也推动美国国会再一次就控枪立法展开一场似乎无解的辩论。当地时间5月24日，得克萨斯州一所小学发生校园枪击案，造成至少21人死亡，其中有19人是小学生。美国总统拜登形容这起枪击事件是 ...全文,11,22,19,2022/5/26,控枪立法,#美国会再一次开启控枪立法辩论#,16讨论,33.1万阅读
64,总有风雨过去时,普通用户,#美国会再一次开启控枪立法辩论#不可能有结果,0,0,0,2022/5/26,控枪立法,#美国会再一次开启控枪立法辩论#,16讨论,33.1万阅读
65,直新闻,蓝v,"#美国30年来首次通过控枪立法#【#美众议院30年来首次通过控枪法案# 提交拜登签署成法】据新加坡《联合早报》网站援引路透社报道，美国众议院通过了一项枪支安全法案并提交给总统拜登签署成法。这是美国30年来首次通过控枪立法，意义重大。

报道称，美众议院当地时间24日以234票赞成对193票反对通过了 ...全文",0,1,1,2022/6/25,控枪立法,#美国30年来首次通过控枪立法#,5讨论,13.5万阅读
66,直新闻,蓝v,"【#拜登签署枪支安全法案#】当地时间6月25日，美国总统拜登签署了一项名为《两党安全社区法》的枪支安全法案，使其成为正式的立法。

#美国30年来首次通过控枪立法#24日，美国国会众议院以234票同意、193票反对的投票结果通过了《两党安全社区法》。该法案要求加强对21岁以下枪支购买者的背景调查，为 ...全文",3,1,1,2022/6/25,控枪立法,#美国30年来首次通过控枪立法#,5讨论,13.5万阅读
67,观察者网,蓝v,"【围绕控枪，美司法、立法侧一天内做出重磅相反决定】
#美国司法和立法围绕控枪两极分化#
在连续发生多起大规模枪击案后，美国最高法院反而进一步扩大了枪支权利。

当地时间6月23日，美国最高法院以6票对3票的票数，推翻了纽约州一项严格限制户外持枪的法律，裁定美国人有权在公共场合携带枪支进行“ ...全文",19,59,161,2022/6/24,控枪立法,#美国司法和立法围绕控枪两极分化#,25讨论,46.8万阅读
68,CGTN记者团,蓝v,【#美国就控枪一天内做出截然相反决定#】当地时间6月23日，美国最高法院以6票对3票推翻了纽约州一项严格限制户外持枪的法律，裁定美国人有权在公共场合携带枪支进行“自卫”。但数小时后，美国国会参议院以65票同意、34票反对，通过了一项两党合作的枪支安全法案——《两党安全社区法》，要求加强对枪 ...全文,0,2,9,2022/6/24,控枪立法,#美国司法和立法围绕控枪两极分化#,25讨论,46.8万阅读
69,中新视频,蓝v,【#拜登呼吁国会立即加强控枪立法#】一周时间里，美国接连发生重大枪击事件。美国总统拜登3月23日呼吁国会参议院立即通过众议院此前批准的枪支法案，加强控枪立法。拜登说，国会应立即采取行动，禁止攻击性武器和大容量弹匣，堵住购枪背景调查程序中的漏洞，以“拯救生命” 中新视频的微博视频,0,0,7,2021/3/24,控枪立法,#拜登呼吁国会立即加强控枪立法#,3讨论,6.1万阅读
