rid,用户名称,话题名称,微博内容,发布时间,微博转发量,微博评论量,微博点赞,评论内容,评论时间,话题讨论数,话题阅读数,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,男的最多出钱，女孩可能要改变人生走向了,02月16日 17:36,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,让女孩受到伤害的男孩才应该买单,02月16日 17:15,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,反正男女怎么着都是被资本剥削,02月16日 17:15,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,确实 还是支持男性休产假的 体会带孩子的哭,02月16日 17:14,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,男女同休产假对大家都有好处啊，这样女性因为生育一类的假期所面临的性别歧视要小很多，工作分摊到女性身上，男性工作压力也能减小,02月16日 17:10,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,违背人权,02月16日 15:26,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,14岁未成年。男方涉嫌强奸罪。当然要报警。,02月16日 15:14,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,欺负女孩年少无知的人应该收到惩戒,02月16日 13:34,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,男性没有产假，被剥削的可能性都比女性大,02月16日 12:55,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,男性休产假一样被公司剥削 不休的猝死的少吗,02月16日 12:47,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,男性产假可以不休，女性一旦发生是不可能的,02月16日 11:42,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,关键警方问她孩子爸爸是谁她都没说对,02月16日 11:30,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,刑法第二百三十六条,02月16日 09:02,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,对，男性拥有产假根本上是保护女性的职场利益以及职场竞争力，如果男女都有同等天数的产假，那么公司在录取人的时候也能单纯从职业能力出发择优录取，不需要只考虑女性产假成本,02月16日 02:28,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,那如此我感觉还是远离婚姻才会变得幸福了都,02月16日 00:00,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,叫你不生，你还敢生， 叫你生，你就得生， 不听话的必须被收拾,02月15日 22:45,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,劳伦斯法案中国版,02月15日 20:12,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,持续下去就是禁止堕胎,02月15日 18:02,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,关于酒驾，本身就是违法。做了避孕措施（措施合法）而措施失败（措施失败有可能是自身问题，也可能是避孕产品问题），为什么不能堕胎？,02月11日 20:56,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,就像我同事，有次聊起这个话题，一脸得意的说，我家反正是男孩。   这就是国内很大一部分男孩家长的想法。,02月11日 20:52,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,以前是怀孕五六个月还要强制拉去流掉，打下来都有成形的。快要一个极端变成另个极端了,02月10日 22:56,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,"无语了，以前的人想生不让生，现在直接不能选择要不要生了', '赶紧搞研究吧，让男人怀孕生孩子去！！！也别性生活了 ，用工具吧",02月10日 16:45,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,"二胎，三胎，优生优育，独生子女，政府来养老', '为三胎出台优惠政策', '对之前的百姓公平吗', '要求对独生，失独家庭给予补偿",02月10日 16:23,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,有意思，与计划生育完全背离。以前的思想看看要多久才能变。,02月10日 15:44,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,现在就去结扎,02月10日 14:40,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,赶紧普及性教育吧,02月10日 14:31,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,是的，我觉得是让未成年人，未婚人员保护自己不要意外怀孕,02月10日 13:26,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,计划经济时代的产物，计生应该撤编取缔，不符合现在社会需求，没有存在的意义，尾大不掉这可不是好事。,02月10日 13:10,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,计划生育协会是什么机构啊？这种协会出的政策只能手机倡导性的吧？,02月10日 12:41,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,她和她妈妈一开始没想报警，想偷偷地流掉，她的家庭教育有很大问题，应该有这样的法律来约束这只种行为,02月10日 12:25,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,可惜男性产假没出台……果然立法都是男性立的,02月10日 12:18,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,那关于新生儿的户口管理也得相应修改，否则干预未婚堕胎就是显而易见的流氓行为,02月10日 12:15,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,文件整体并不是这个意思,02月10日 12:03,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,看来各类民营医院又可以出来骗钱了,02月10日 11:44,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,希望义务教育拓展到12年,02月10日 11:43,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,禁止堕胎措词不太严谨,02月10日 11:36,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,未成年堕胎，医生都有义务报警，请警方协助调查，因为这极有可能涉及违法犯罪行为了。,02月10日 11:31,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,14岁未成年，应该报警,02月10日 11:30,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077, 支持！现在人对生命的敬畏心真的需要提高！,02月10日 11:26,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,根本不是这一回事啊，重点还是要普及性教育，倡导健康妊娠，避免未成年怀孕什么的,02月10日 11:25,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,保护好自己,02月10日 11:24,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,不认同,02月10日 11:22,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,不是禁止堕胎,02月10日 11:20,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,后面那个16岁的引了两次流了一次,02月10日 11:20,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,青少年和未婚人群是同一个群体吗？未婚人群比青少年的范围大的多的多吧…,02月10日 11:20,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,看守护解放西里面有好多失足的未成年男女啊，指路第三季第二集，14岁的女孩坏了孩子堕胎医院报警，我直接震惊(ΩДΩ),02月10日 11:18,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,看出来是真着急了,02月10日 11:17,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,原文不是这么说的，人家的意思是避免青少年意外怀孕，媒体一通瞎说,02月10日 11:17,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,女孩要为年少无知买单了,02月10日 11:17,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,这种单位还不关门，苟延残喘没事找事,02月10日 11:16,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,这个话题不对啊，不是禁止堕胎。,02月10日 11:14,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,？？？？,02月10日 11:14,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,…………………………,02月10日 11:14,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,此一时彼一时！,02月10日 11:13,1732讨论,196.6万阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,想听罗诉韦德案,06月25日 09:14,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,"总结到位', '最高法院并非禁止堕胎，而是权利下放//', 精釆！——美国格局是联邦+公司领主制，禁令下，1可跨州、2大公司如迪斯尼经济支持，个人堕胎权利有出口。3资本国家推卸主体责任最好的设计就是法条大法官+投票，这可以有效转移民众山呼海啸的情绪，避免政府不稳。//', 推荐",06月25日 12:38,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,想听冰汝说罗诉韦德案,06月25日 09:35,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,所以准备怀孕之前就得做产检啊。,07月23日 02:15,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,别瞎说。你是没见过产后大出血吗？还是宫外孕啊。胎膜早破没见过。,07月23日 02:09,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,孩子有畸形可以去医院。咱中国医院堕胎只承认胎儿畸形。如果你的胎儿畸形了，那就可以堕胎，如果没有那就不能。,07月23日 02:08,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,医院里面只有畸形胎儿能,07月23日 02:06,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,那就要放弃被强奸的那部分你所谓的1%的人 然后完成你所谓的大义 如果女性生育都不能自己掌握那是多么可悲 如果真的是养不起孩子难到就生下来放养跟着受苦一辈子吗？,07月20日 20:47,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,美国就要不少反对堕胎的女性,07月20日 19:38,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,在美国就有一些女性为了堕胎而怀孕，这些极端分子可不少呢。纽约和加州允许怀孕38-39周堕胎,07月20日 19:37,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,可以早产或饱腹产呀,07月20日 19:31,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,强奸只占堕胎总数的不到1％，绝大多数堕胎是因为没钱养不起孩子,07月20日 19:19,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,我虽然不赞成堕胎但是性教育还是太重要了,07月20日 19:17,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,最好不要遇着，若成事实，再根据状况解决。,07月18日 14:28,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,假慈悲真残忍,07月18日 05:51,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,现在已经是qj，乱伦，发育不足一律不允许打胎,07月18日 05:47,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,女人真惨，怀孕生育这个功能，谁有谁倒霉，怀孕生育这个功能就是赤裸裸的“吃亏牺牲受罪还不讨好”，,07月16日 01:10,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,你千万不要因为你没有子宫，就去妄想利用假道德控制女性的生育权和身体，人家女人好歹是控制自己的身体，你可别想用一张嘴去控制别人的身体。你想控制别人？你是有多自私？,07月16日 01:08,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,为了生命自由，应该控制男性蛇精，因为，男性蛇精容易导致女性怀孕，你们男的为了胚胎生命，应该把下面带上控制蛇精的装置。,07月16日 01:07,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,哪里又说特殊处理？你去说的吗？,07月15日 17:57,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,怎么幸福就怎么活，但必要的措施还是要有，只要不违法不伤害别人即可。,07月15日 15:22,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,特殊情况特殊处理。,07月15日 15:19,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,是的，要有防范意识，才能维护妇女权益。,07月15日 15:16,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,首先“随意堕胎”这个说法就已经不成立，以为堕胎是上厕所拉大号吗？还能随意？谁不知道堕胎对身体伤害极大？如果不是被逼到一定程度，没有选择了谁会去堕胎？,07月15日 15:03,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,那你去变性成女的给世界所有男的生孩子去吧 不到绝经不许停的 不生出天才不许停的,07月12日 18:31,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,去加州就可以了,07月12日 14:54,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,美国之前有个被强奸的十岁女童后面发现怀孕六周多几天，所在州规定超过六周就不允许堕胎必须生下来，她必须得跨州去一个允许堕胎的地方才能把胎儿堕掉，根本不存在所谓的特殊处理，要是美国全面取消堕胎权这个十岁的女孩就必须生下这个孩子！,07月12日 02:30,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,明明女孩子生育问题不关某些人的事，他硬是要扯上来，说起来他可以怀孕一样，就像这个世界都归他管，而且他又没有尝试过怀孕的苦，她就知道男生的那个部位被踢了一下，生160个孩子似的，一般人只受得了45del他一次性就可以受得了9000del,07月11日 04:14,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,有些女孩子不知道身上有某些病，然后得了病，胎儿会像寄生虫一样吸母亲的营养，你还不能把他打掉，那这样说出来的话，那岂不是那个胎儿就是罪犯咯，尤其是那种被人那啥的女孩子,07月11日 04:12,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,发育不良，畸形？失业养不起了？生下来那可是个人不是颗草晒晒太阳就能活,07月10日 10:24,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,真的想保障所谓的“生命权”，就该重判随意播种而不负责的男性。两个人的事凭什么只剥夺女性的权利。,07月08日 14:29,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,二臂,07月08日 02:12,16.3万讨论,9.2亿阅读,
2,王冰汝,#美国最高法院取消宪法规定的堕胎权#,#美国最高法院取消宪法规定的堕胎权# 这一判决并非是禁止堕胎，那它对美国究竟意味着什么？新鲜出炉的一期视频，从什么是罗诉韦德案开始讲起！,2022/6/25,1434,1377,23489,靠法律来推动洁身自爱，不是在搞笑吗？,07月07日 15:33,16.3万讨论,9.2亿阅读,
